battery_id,voltage,current,temperature,capacity,cycle_count,status
BATT00241,3.41,0.91,20.1,1241,41,OK
BATT00242,3.42,0.92,20.2,1242,42,OK
BATT00243,3.43,0.93,20.3,1243,43,OK
BATT00244,3.44,0.94,20.4,1244,44,OK
BATT00245,3.45,0.95,20.5,1245,45,OK
BATT00246,3.46,0.96,20.6,1246,46,OK
BATT00247,3.47,0.97,20.7,1247,47,OK
BATT00248,3.48,0.98,20.8,1248,48,OK
BATT00249,3.49,0.99,20.9,1249,49,OK
BATT00250,3.5,0.5,21.0,1250,50,WARN
BATT00251,3.51,0.51,21.1,1251,51,OK
BATT00252,3.52,0.52,21.2,1252,52,OK
BATT00253,3.53,0.53,21.3,1253,53,OK
BATT00254,3.54,0.54,21.4,1254,54,OK
BATT00255,3.55,0.55,21.5,1255,55,OK
BATT00256,3.56,0.56,21.6,1256,56,OK
BATT00257,3.57,0.57,21.7,1257,57,OK
BATT00258,3.58,0.58,21.8,1258,58,OK
BATT00259,3.59,0.59,21.9,1259,59,OK
BATT00260,3.6,0.6,22.0,1260,60,WARN
BATT00261,3.61,0.61,22.1,1261,61,OK
BATT00262,3.62,0.62,22.2,1262,62,OK
BATT00263,3.63,0.63,22.3,1263,63,OK
BATT00264,3.64,0.64,22.4,1264,64,OK
BATT00265,3.65,0.65,22.5,1265,65,OK
BATT00266,3.66,0.66,22.6,1266,66,OK
BATT00267,3.67,0.67,22.7,1267,67,OK
BATT00268,3.68,0.68,22.8,1268,68,OK
BATT00269,3.69,0.69,22.9,1269,69,OK
BATT00270,3.7,0.7,20.0,1270,70,WARN
BATT00271,3.71,0.71,20.1,1271,71,OK
BATT00272,3.72,0.72,20.2,1272,72,OK
BATT00273,3.73,0.73,20.3,1273,73,OK
BATT00274,3.74,0.74,20.4,1274,74,OK
BATT00275,3.75,0.75,20.5,1275,75,OK
BATT00276,3.76,0.76,20.6,1276,76,OK
BATT00277,3.77,0.77,20.7,1277,77,OK
BATT00278,3.78,0.78,20.8,1278,78,OK
BATT00279,3.79,0.79,20.9,1279,79,OK
BATT00280,3.8,0.8,21.0,1280,80,WARN
BATT00281,3.81,0.81,21.1,1281,81,OK
BATT00282,3.82,0.82,21.2,1282,82,OK
BATT00283,3.83,0.83,21.3,1283,83,OK
BATT00284,3.84,0.84,21.4,1284,84,OK
BATT00285,3.85,0.85,21.5,1285,85,OK
BATT00286,3.86,0.86,21.6,1286,86,OK
BATT00287,3.87,0.87,21.7,1287,87,OK
BATT00288,3.88,0.88,21.8,1288,88,OK
BATT00289,3.89,0.89,21.9,1289,89,OK
BATT00290,3.9,0.9,22.0,1290,90,WARN
BATT00291,3.91,0.91,22.1,1291,91,OK
BATT00292,3.92,0.92,22.2,1292,92,OK
BATT00293,3.93,0.93,22.3,1293,93,OK
BATT00294,3.94,0.94,22.4,1294,94,OK
BATT00295,3.95,0.95,22.5,1295,95,OK
BATT00296,3.96,0.96,22.6,1296,96,OK
BATT00297,3.97,0.97,22.7,1297,97,OK
BATT00298,3.98,0.98,22.8,1298,98,OK
BATT00299,3.99,0.99,22.9,1299,99,OK
BATT00300,3.0,0.5,20.0,1300,0,WARN
BATT00301,3.01,0.51,20.1,1301,1,OK
BATT00302,3.02,0.52,20.2,1302,2,OK
BATT00303,3.03,0.53,20.3,1303,3,OK
BATT00304,3.04,0.54,20.4,1304,4,OK
BATT00305,3.05,0.55,20.5,1305,5,OK
BATT00306,3.06,0.56,20.6,1306,6,OK
BATT00307,3.07,0.57,20.7,1307,7,OK
BATT00308,3.08,0.58,20.8,1308,8,OK
BATT00309,3.09,0.59,20.9,1309,9,OK
BATT00310,3.1,0.6,21.0,1310,10,WARN
BATT00311,3.11,0.61,21.1,1311,11,OK
BATT00312,3.12,0.62,21.2,1312,12,OK
BATT00313,3.13,0.63,21.3,1313,13,OK
BATT00314,3.14,0.64,21.4,1314,14,OK
BATT00315,3.15,0.65,21.5,1315,15,OK
BATT00316,3.16,0.66,21.6,1316,16,OK
BATT00317,3.17,0.67,21.7,1317,17,OK
BATT00318,3.18,0.68,21.8,1318,18,OK
BATT00319,3.19,0.69,21.9,1319,19,OK
BATT00320,3.2,0.7,22.0,1320,20,WARN
BATT00321,3.21,0.71,22.1,1321,21,OK
BATT00322,3.22,0.72,22.2,1322,22,OK
BATT00323,3.23,0.73,22.3,1323,23,OK
BATT00324,3.24,0.74,22.4,1324,24,OK
BATT00325,3.25,0.75,22.5,1325,25,OK
BATT00326,3.26,0.76,22.6,1326,26,OK
BATT00327,3.27,0.77,22.7,1327,27,OK
BATT00328,3.28,0.78,22.8,1328,28,OK
BATT00329,3.29,0.79,22.9,1329,29,OK
BATT00330,3.3,0.8,20.0,1330,30,WARN
BATT00331,3.31,0.81,20.1,1331,31,OK
BATT00332,3.32,0.82,20.2,1332,32,OK
BATT00333,3.33,0.83,20.3,1333,33,OK
BATT00334,3.34,0.84,20.4,1334,34,OK
BATT00335,3.35,0.85,20.5,1335,35,OK
BATT00336,3.36,0.86,20.6,1336,36,OK
BATT00337,3.37,0.87,20.7,1337,37,OK
BATT00338,3.38,0.88,20.8,1338,38,OK
BATT00339,3.39,0.89,20.9,1339,39,OK
BATT00340,3.4,0.9,21.0,1340,40,WARN
BATT00341,3.41,0.91,21.1,1341,41,OK
BATT00342,3.42,0.92,21.2,1342,42,OK
BATT00343,3.43,0.93,21.3,1343,43,OK
BATT00344,3.44,0.94,21.4,1344,44,OK
BATT00345,3.45,0.95,21.5,1345,45,OK
BATT00346,3.46,0.96,21.6,1346,46,OK
BATT00347,3.47,0.97,21.7,1347,47,OK
BATT00348,3.48,0.98,21.8,1348,48,OK
BATT00349,3.49,0.99,21.9,1349,49,OK
BATT00350,3.5,0.5,22.0,1350,50,WARN
BATT00351,3.51,0.51,22.1,1351,51,OK
BATT00352,3.52,0.52,22.2,1352,52,OK
BATT00353,3.53,0.53,22.3,1353,53,OK
BATT00354,3.54,0.54,22.4,1354,54,OK
BATT00355,3.55,0.55,22.5,1355,55,OK
BATT00356,3.56,0.56,22.6,1356,56,OK
BATT00357,3.57,0.57,22.7,1357,57,OK
BATT00358,3.58,0.58,22.8,1358,58,OK
BATT00359,3.59,0.59,22.9,1359,59,OK
BATT00360,3.6,0.6,20.0,1360,60,WARN
BATT00361,3.61,0.61,20.1,1361,61,OK
BATT00362,3.62,0.62,20.2,1362,62,OK
BATT00363,3.63,0.63,20.3,1363,63,OK
BATT00364,3.64,0.64,20.4,1364,64,OK
BATT00365,3.65,0.65,20.5,1365,65,OK
BATT00366,3.66,0.66,20.6,1366,66,OK
BATT00367,3.67,0.67,20.7,1367,67,OK
BATT00368,3.68,0.68,20.8,1368,68,OK
BATT00369,3.69,0.69,20.9,1369,69,OK
BATT00370,3.7,0.7,21.0,1370,70,WARN
BATT00371,3.71,0.71,21.1,1371,71,OK
BATT00372,3.72,0.72,21.2,1372,72,OK
BATT00373,3.73,0.73,21.3,1373,73,OK
BATT00374,3.74,0.74,21.4,1374,74,OK
BATT00375,3.75,0.75,21.5,1375,75,OK
BATT00376,3.76,0.76,21.6,1376,76,OK
BATT00377,3.77,0.77,21.7,1377,77,OK
BATT00378,3.78,0.78,21.8,1378,78,OK
BATT00379,3.79,0.79,21.9,1379,79,OK
BATT00380,3.8,0.8,22.0,1380,80,WARN
BATT00381,3.81,0.81,22.1,1381,81,OK
BATT00382,3.82,0.82,22.2,1382,82,OK
BATT00383,3.83,0.83,22.3,1383,83,OK
BATT00384,3.84,0.84,22.4,1384,84,OK
BATT00385,3.85,0.85,22.5,1385,85,OK
BATT00386,3.86,0.86,22.6,1386,86,OK
BATT00387,3.87,0.87,22.7,1387,87,OK
BATT00388,3.88,0.88,22.8,1388,88,OK
BATT00389,3.89,0.89,22.9,1389,89,OK
BATT00390,3.9,0.9,20.0,1390,90,WARN
BATT00391,3.91,0.91,20.1,1391,91,OK
BATT00392,3.92,0.92,20.2,1392,92,OK
BATT00393,3.93,0.93,20.3,1393,93,OK
BATT00394,3.94,0.94,20.4,1394,94,OK
BATT00395,3.95,0.95,20.5,1395,95,OK
BATT00396,3.96,0.96,20.6,1396,96,OK
BATT00397,3.97,0.97,20.7,1397,97,OK
BATT00398,3.98,0.98,20.8,1398,98,OK
BATT00399,3.99,0.99,20.9,1399,99,OK
BATT00400,3.0,0.5,21.0,1400,0,WARN
BATT00401,3.01,0.51,21.1,1401,1,OK
BATT00402,3.02,0.52,21.2,1402,2,OK
BATT00403,3.03,0.53,21.3,1403,3,OK
BATT00404,3.04,0.54,21.4,1404,4,OK
BATT00405,3.05,0.55,21.5,1405,5,OK
BATT00406,3.06,0.56,21.6,1406,6,OK
BATT00407,3.07,0.57,21.7,1407,7,OK
BATT00408,3.08,0.58,21.8,1408,8,OK
BATT00409,3.09,0.59,21.9,1409,9,OK
BATT00410,3.1,0.6,22.0,1410,10,WARN
BATT00411,3.11,0.61,22.1,1411,11,OK
BATT00412,3.12,0.62,22.2,1412,12,OK
BATT00413,3.13,0.63,22.3,1413,13,OK
BATT00414,3.14,0.64,22.4,1414,14,OK
BATT00415,3.15,0.65,22.5,1415,15,OK
BATT00416,3.16,0.66,22.6,1416,16,OK
BATT00417,3.17,0.67,22.7,1417,17,OK
BATT00418,3.18,0.68,22.8,1418,18,OK
BATT00419,3.19,0.69,22.9,1419,19,OK
BATT00420,3.2,0.7,20.0,1420,20,WARN
BATT00421,3.21,0.71,20.1,1421,21,OK
BATT00422,3.22,0.72,20.2,1422,22,OK
BATT00423,3.23,0.73,20.3,1423,23,OK
BATT00424,3.24,0.74,20.4,1424,24,OK
BATT00425,3.25,0.75,20.5,1425,25,OK
BATT00426,3.26,0.76,20.6,1426,26,OK
BATT00427,3.27,0.77,20.7,1427,27,OK
BATT00428,3.28,0.78,20.8,1428,28,OK
BATT00429,3.29,0.79,20.9,1429,29,OK
BATT00430,3.3,0.8,21.0,1430,30,WARN
BATT00431,3.31,0.81,21.1,1431,31,OK
BATT00432,3.32,0.82,21.2,1432,32,OK
BATT00433,3.33,0.83,21.3,1433,33,OK
BATT00434,3.34,0.84,21.4,1434,34,OK
BATT00435,3.35,0.85,21.5,1435,35,OK
BATT00436,3.36,0.86,21.6,1436,36,OK
BATT00437,3.37,0.87,21.7,1437,37,OK
BATT00438,3.38,0.88,21.8,1438,38,OK
BATT00439,3.39,0.89,21.9,1439,39,OK
BATT00440,3.4,0.9,22.0,1440,40,WARN
BATT00441,3.41,0.91,22.1,1441,41,OK
BATT00442,3.42,0.92,22.2,1442,42,OK
BATT00443,3.43,0.93,22.3,1443,43,OK
BATT00444,3.44,0.94,22.4,1444,44,OK
BATT00445,3.45,0.95,22.5,1445,45,OK
BATT00446,3.46,0.96,22.6,1446,46,OK
BATT00447,3.47,0.97,22.7,1447,47,OK
BATT00448,3.48,0.98,22.8,1448,48,OK
BATT00449,3.49,0.99,22.9,1449,49,OK
BATT00450,3.5,0.5,20.0,1450,50,WARN
BATT00451,3.51,0.51,20.1,1451,51,OK
BATT00452,3.52,0.52,20.2,1452,52,OK
BATT00453,3.53,0.53,20.3,1453,53,OK
BATT00454,3.54,0.54,20.4,1454,54,OK
BATT00455,3.55,0.55,20.5,1455,55,OK
BATT00456,3.56,0.56,20.6,1456,56,OK
BATT00457,3.57,0.57,20.7,1457,57,OK
BATT00458,3.58,0.58,20.8,1458,58,OK
BATT00459,3.59,0.59,20.9,1459,59,OK
BATT00460,3.6,0.6,21.0,1460,60,WARN
BATT00461,3.61,0.61,21.1,1461,61,OK
BATT00462,3.62,0.62,21.2,1462,62,OK
BATT00463,3.63,0.63,21.3,1463,63,OK
BATT00464,3.64,0.64,21.4,1464,64,OK
BATT00465,3.65,0.65,21.5,1465,65,OK
BATT00466,3.66,0.66,21.6,1466,66,OK
BATT00467,3.67,0.67,21.7,1467,67,OK
BATT00468,3.68,0.68,21.8,1468,68,OK
BATT00469,3.69,0.69,21.9,1469,69,OK
BATT00470,3.7,0.7,22.0,1470,70,WARN
BATT00471,3.71,0.71,22.1,1471,71,OK
BATT00472,3.72,0.72,22.2,1472,72,OK
BATT00473,3.73,0.73,22.3,1473,73,OK
BATT00474,3.74,0.74,22.4,1474,74,OK
BATT00475,3.75,0.75,22.5,1475,75,OK
BATT00476,3.76,0.76,22.6,1476,76,OK
BATT00477,3.77,0.77,22.7,1477,77,OK
BATT00478,3.78,0.78,22.8,1478,78,OK
BATT00479,3.79,0.79,22.9,1479,79,OK
BATT00480,3.8,0.8,20.0,1480,80,WARN
BATT00481,3.81,0.81,20.1,1481,81,OK
BATT00482,3.82,0.82,20.2,1482,82,OK
BATT00483,3.83,0.83,20.3,1483,83,OK
BATT00484,3.84,0.84,20.4,1484,84,OK
BATT00485,3.85,0.85,20.5,1485,85,OK
BATT00486,3.86,0.86,20.6,1486,86,OK
BATT00487,3.87,0.87,20.7,1487,87,OK
BATT00488,3.88,0.88,20.8,1488,88,OK
BATT00489,3.89,0.89,20.9,1489,89,OK
BATT00490,3.9,0.9,21.0,1490,90,WARN
BATT00491,3.91,0.91,21.1,1491,91,OK
BATT00492,3.92,0.92,21.2,1492,92,OK
BATT00493,3.93,0.93,21.3,1493,93,OK
BATT00494,3.94,0.94,21.4,1494,94,OK
BATT00495,3.95,0.95,21.5,1495,95,OK
BATT00496,3.96,0.96,21.6,1496,96,OK
BATT00497,3.97,0.97,21.7,1497,97,OK
BATT00498,3.98,0.98,21.8,1498,98,OK
BATT00499,3.99,0.99,21.9,1499,99,OK
BATT00500,3.0,0.5,22.0,1000,0,WARN
BATT00501,3.01,0.51,22.1,1001,1,OK
BATT00502,3.02,0.52,22.2,1002,2,OK
BATT00503,3.03,0.53,22.3,1003,3,OK
BATT00504,3.04,0.54,22.4,1004,4,OK
BATT00505,3.05,0.55,22.5,1005,5,OK
BATT00506,3.06,0.56,22.6,1006,6,OK
BATT00507,3.07,0.57,22.7,1007,7,OK
BATT00508,3.08,0.58,22.8,1008,8,OK
BATT00509,3.09,0.59,22.9,1009,9,OK
BATT00510,3.1,0.6,20.0,1010,10,WARN
BATT00511,3.11,0.61,20.1,1011,11,OK
BATT00512,3.12,0.62,20.2,1012,12,OK
BATT00513,3.13,0.63,20.3,1013,13,OK
BATT00514,3.14,0.64,20.4,1014,14,OK
BATT00515,3.15,0.65,20.5,1015,15,OK
BATT00516,3.16,0.66,20.6,1016,16,OK
BATT00517,3.17,0.67,20.7,1017,17,OK
BATT00518,3.18,0.68,20.8,1018,18,OK
BATT00519,3.19,0.69,20.9,1019,19,OK
BATT00520,3.2,0.7,21.0,1020,20,WARN
BATT00521,3.21,0.71,21.1,1021,21,OK
BATT00522,3.22,0.72,21.2,1022,22,OK
BATT00523,3.23,0.73,21.3,1023,23,OK
BATT00524,3.24,0.74,21.4,1024,24,OK
BATT00525,3.25,0.75,21.5,1025,25,OK
BATT00526,3.26,0.76,21.6,1026,26,OK
BATT00527,3.27,0.77,21.7,1027,27,OK
BATT00528,3.28,0.78,21.8,1028,28,OK
BATT00529,3.29,0.79,21.9,1029,29,OK
BATT00530,3.3,0.8,22.0,1030,30,WARN
BATT00531,3.31,0.81,22.1,1031,31,OK
BATT00532,3.32,0.82,22.2,1032,32,OK
BATT00533,3.33,0.83,22.3,1033,33,OK
BATT00534,3.34,0.84,22.4,1034,34,OK
